#;MsgType;Timestamp;Lat;Lon;SpeedKnots;SpeedKmph;TrueHeading;MagnHeading
336;RMC;12/26/2016 9:41:51 PM;49.2096817666667;16.5983240666667;;;;
337;;;;;;;;NMEA message parser not found for RMB.
338;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
339;GSA;;;;;;;
340;GSV;;;;;;;
341;GSV;;;;;;;
342;;;;;;;;NMEA message parser not found for GRM.
343;RMC;12/26/2016 9:41:52 PM;49.2096790166667;16.59831445;;;;
344;;;;;;;;NMEA message parser not found for RMB.
345;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
346;GSA;;;;;;;
347;GSV;;;;;;;
348;GSV;;;;;;;
349;;;;;;;;NMEA message parser not found for GRM.
350;RMC;12/26/2016 9:41:53 PM;49.2096762666667;16.5983048333333;;;;
351;;;;;;;;NMEA message parser not found for RMB.
352;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
353;GSA;;;;;;;
354;GSV;;;;;;;
355;GSV;;;;;;;
356;;;;;;;;NMEA message parser not found for GRM.
357;RMC;12/26/2016 9:41:54 PM;49.2096735;16.5982952;;;;
358;;;;;;;;NMEA message parser not found for RMB.
359;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
360;GSA;;;;;;;
361;GSV;;;;;;;
362;GSV;;;;;;;
363;;;;;;;;NMEA message parser not found for GRM.
364;RMC;12/26/2016 9:41:55 PM;49.20967075;16.5982855833333;;;;
365;;;;;;;;NMEA message parser not found for RMB.
366;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
367;GSA;;;;;;;
368;GSV;;;;;;;
369;GSV;;;;;;;
370;;;;;;;;NMEA message parser not found for GRM.
371;RMC;12/26/2016 9:41:56 PM;49.209668;16.59827595;;;;
372;;;;;;;;NMEA message parser not found for RMB.
373;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
374;GSA;;;;;;;
375;GSV;;;;;;;
376;GSV;;;;;;;
377;;;;;;;;NMEA message parser not found for GRM.
378;RMC;12/26/2016 9:41:57 PM;49.20966525;16.5982663333333;;;;
379;;;;;;;;NMEA message parser not found for RMB.
380;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
381;GSA;;;;;;;
382;GSV;;;;;;;
383;GSV;;;;;;;
384;;;;;;;;NMEA message parser not found for GRM.
385;RMC;12/26/2016 9:41:58 PM;49.2096624833333;16.5982567;;;;
386;;;;;;;;NMEA message parser not found for RMB.
387;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
388;GSA;;;;;;;
389;GSV;;;;;;;
390;GSV;;;;;;;
391;;;;;;;;NMEA message parser not found for GRM.
